SHIP_NO,SHIP_GUBUN,GROSS_TONNAGE,REG_LENGTH,REG_BREADTH,REG_DEPTH,NATURE,PURPOSE,PURPOSE_GU,REG_PORT
10056488405,1,3,6.38,2.19,0.6,5,B10,3,4691036000
10066264404,1,1.53,7.2,2.3,0.77,5,B04,1,2644000000
10066287201,1,7.93,13.79,4.15,1.1,5,B10,3,2814000000
10066442104,1,1.15,6.31,1.95,0.5,5,A01,14,4691011000
10066448252,1,6.67,11.74,3.24,0.9,5,B10,3,4482531000
10066451309,1,9.77,14.63,3.85,1.16,5,B10,3,4513039000
10066461307,1,2.95,8.5,2.61,0.67,5,B13,2,4831031000
10066467703,1,1.95,7.5,2.31,0.75,5,B04,1,4677036000
10066468202,1,1.05,6.54,1.99,0.71,5,E60,1,4691032000
10066469103,1,1.79,7.52,2.2,0.84,5,E60,1,4691036000
10066482204,1,4.21,9.62,2.92,0.81,5,E39,1,4882031000
10066488208,1,1.34,6.05,2.07,0.64,5,B13,2,4824000000
10076287200,1,6.48,11.59,3.24,0.9,5,B13,2,2872035000
10076442103,1,1,6.48,1.8,0.74,5,E39,1,4682040000
10076467702,1,0.85,5.81,1.72,0.72,5,B04,1,4613025000
10076468201,1,4.97,10.2,3.58,0.75,5,B10,3,4687038000
10076468907,1,0.39,5.61,1.65,0.42,2,F00,1,4689034000
10076469102,1,0.89,6.84,1.96,0.5,5,E60,1,4691036000
10076481900,1,1.38,6.84,2.06,0.8,5,B10,3,4819000000
10086461305,1,6,10.7,3.33,0.88,5,B10,3,4777032000
10086467701,1,0.55,5.82,1.58,0.51,5,B04,1,4831000000
10086469003,1,6.21,11.1,3.94,0.75,5,F00,3,4815133000
10086469101,1,1,6.98,1.78,0.68,5,E60,1,4691036000
10086488402,1,0.68,5.07,1.76,0.65,5,B04,1,4884033000
10096461304,1,4.15,9.73,2.77,0.82,5,B10,3,4613034000
10096469100,1,0.89,5.94,1.65,0.84,5,E60,1,4691036000
10096482201,1,76,26.96,6.03,2.68,5,C09,1,4822000000
10106264408,1,1.53,7.93,1.97,0.82,5,E70,1,2644000000
10106461301,1,4.15,9.73,2.77,0.82,5,B04,1,4882042000
10106467707,1,4.47,11,3.21,0.84,5,B13,2,4677031000
10106469107,1,1.49,5.9,2.25,0.86,5,F00,4,4690033000
10106471103,1,3.83,9.7,2.62,0.79,5,B10,3,4711000000
10106482208,1,4.18,10.1,3.02,0.79,5,E39,1,4822000000
10116467706,1,2.3,7.53,2.24,0.77,5,F00,3,4613036000
10116468901,1,1.31,6.54,2.05,0.84,5,E60,1,4689037000
10116469106,1,1.75,7.2,2.15,0.56,5,E60,1,4691036000
10116482207,1,1.52,6.8,2.15,0.8,5,B04,1,4822025000
10126264406,1,2.13,7.11,2.28,1.05,5,B10,3,2644000000
10126467705,1,1.2,6.35,2,0.8,5,B04,1,4613032000
10126468008,1,0.82,5.76,1.77,0.71,5,A01,14,4680013000
10126469105,1,1.98,7.07,2.2,0.9,5,E60,1,4691036000
10126481903,1,1.09,6.12,2.03,0.79,5,B04,1,4819000000
10136264405,1,1.18,6.75,1.98,0.75,5,E70,1,2644000000
10136461308,1,1.07,7.08,1.92,0.48,5,B10,3,4815100000
