SHIP_NO,SHIP_GUBUN,GROSS_TONNAGE,REG_LENGTH,REG_BREADTH,REG_DEPTH,NATURE,PURPOSE,PURPOSE_GU,REG_PORT
BSR081165,2,126,31.72,7,3.5,1,G04,2,2600000000
BSR081791,2,149,35.25,7.2,3.65,1,G04,2,2600000000
BSR085435,2,44,20.18,7.5,2.21,1,G08,30,2600000000
BSR085757,2,149,35.06,7.2,3.68,1,G04,2,2600000000
BSR087960,2,147,29.82,8.8,3.9,1,G08,112,2600000000
BSR088681,2,49,12.28,5.36,2.22,5,G01,6,2600000000
BSR090441,2,149,35.25,7.2,3.65,1,G04,2,2600000000
BSR090481,2,87,28,6.4,2.8,1,G04,2,2600000000
BSR090618,2,61,22.56,8,2.5,1,G08,30,2600000000
BSR090887,2,2250,97.96,19,5,1,G07,12,2600000000
BSR091031,2,149,35.25,7.2,3.65,1,G04,2,2600000000
BSR091109,2,82,29.01,7,2.6,1,G04,2,2600000000
BSR091116,2,149,35.25,7.2,3.65,1,G04,5,2600000000
BSR091123,2,54,19.7,8,2.5,1,G08,112,2600000000
BSR091413,2,1691,77.14,14,7.44,1,G02,105,2600000000
BSR092615,2,149,35.25,7.2,3.65,1,G04,2,2600000000
BSR095694,2,149,36.05,7.2,3.65,1,G04,2,2600000000
BSR100024,2,46,23.64,5,2.4,1,G04,5,2600000000
BSR100071,2,115,32.46,7.4,2.7,1,G04,2,2600000000
BSR100088,2,179,28.07,14.5,2.6,1,G08,14,2600000000
BSR100131,2,62,22.58,8,2.5,1,G08,20,2600000000
BSR100148,2,3407,85.04,18,7.2,1,G02,105,4822000000
BSR100170,2,166,28.66,8.5,3.9,1,G08,112,2600000000
BSR100254,2,33,22.95,5.6,2,1,G04,2,2600000000
BSR100293,2,63,26.82,5.7,2.4,1,G04,2,2600000000
BSR100307,2,133,32,7.3,3.1,1,G04,2,2600000000
BSR100583,2,134,36.66,7.2,3.2,1,G04,2,2600000000
BSR100651,2,141,38.43,0,0,1,G04,2,2600000000
BSR100668,2,80,29.67,7.1,2.55,1,G04,5,2600000000
BSR101001,2,322,40.49,10.8,4.8,1,G08,112,2600000000
BSR101012,2,38,20.42,5.3,2.5,4,G08,5,2600000000
BSR101141,2,60,26.7,5.3,2.55,1,G04,5,2600000000
BSR101258,2,136,38.43,8.5,2.85,1,G04,2,2600000000
BSR101371,2,105,29.94,7.2,3.38,1,G08,12,2600000000
BSR105305,2,107,34.44,7.85,2.55,1,G04,2,2600000000
BSR105337,2,24,14.45,7.8,2.95,5,G01,6,2600000000
BSR105351,2,575,60.01,10,4.8,1,G04,2,2600000000
BSR105369,2,24,18.94,0,0,1,G08,11,2600000000
BSR105376,2,22,19.59,4.3,1.8,1,G08,112,2600000000
BSR106479,2,48,25.96,4.85,2.6,1,G04,2,2600000000
BSR106507,2,92,23.92,7.2,3.5,1,G08,12,2600000000
BSR108996,2,75,28.01,6.3,2.7,1,G04,5,2600000000
BSR110013,2,198,44.25,8,3.4,1,G04,5,2600000000
BSR110017,2,498,58.88,9.4,4.3,1,G08,2,2600000000
BSR110018,2,101,20.66,9.4,2.6,1,G02,2,2600000000
BSR110027,2,49,14.16,5.36,2.22,5,G08,37,2600000000
BSR110046,2,55,20.46,6,2.5,1,G08,112,2600000000
BSR110048,2,118,27.08,7.8,3,1,G08,112,2600000000
BSR110077,2,153,28.49,8.8,3.52,1,G08,112,2600000000
BSR110092,2,266,45.87,8.7,4.05,1,G04,5,2600000000
BSR110095,2,41,23.39,4.8,2.1,1,G04,2,2600000000
BSR110096,2,40,18.52,6,2.3,1,G08,111,2600000000
BSR110098,2,128,24.59,9.2,6.1,1,G08,111,2600000000
BSR110100,2,108,34.01,7.85,2.65,1,G04,2,2600000000
BSR110101,2,59,21.25,8,2.5,1,G08,20,2600000000
BSR110102,2,130,27.05,8.4,3.81,1,G08,112,2600000000
BSR110104,2,46,19.32,7.5,2.2,1,G08,113,2600000000
BSR110111,2,67,23.89,6.5,2.6,1,G08,112,2600000000
BSR110115,2,378,42.83,9.3,5.9,1,G08,2,2600000000
BSR110124,2,92,30.07,7.2,3,1,G04,2,2600000000
BSR120004,2,299,48.23,9,4.3,1,G04,2,2600000000
BSR120005,2,82,30.6,6.9,2.55,1,G04,2,2600000000
BSR120011,2,314,48.21,9,4.3,1,G04,2,2600000000
BSR120018,2,48,11.96,5.4,2.21,5,G08,37,2600000000
BSR120021,2,299,48.23,9,4.3,1,G04,2,2600000000
BSR120036,2,22,13.33,4.88,1.89,4,G08,37,2600000000
BSR120037,2,81,28.99,0,0,1,G04,5,2600000000
BSR120039,2,223,47.04,8.4,3.6,1,G04,2,2600000000
BSR120043,2,140,37.95,8.4,2.85,1,G04,2,2600000000
BSR120049,2,68,23.89,0,0,1,G08,113,2600000000
BSR120050,2,302,30.15,9.6,5.8,1,G08,111,2600000000
BSR120059,2,415,55.61,9.2,4.35,1,G04,2,2600000000
BSR120061,2,320,49.01,9.15,4.4,1,G04,2,2600000000
BSR120068,2,563,60.9,10,4.7,1,G04,2,2600000000
BSR120072,2,483,55.11,9.6,4.3,1,G04,2,2600000000
BSR120075,2,187,41.5,7.5,3.3,1,G04,2,2600000000
BSR120078,2,30,19.55,4.9,2.15,5,G08,5,2600000000
BSR124201,2,54,22.4,5.8,2.57,5,G08,37,2600000000
BSR124810,2,454,56.11,10,4.4,1,G04,2,2600000000
BSR126826,2,427,26.69,10,7.53,1,G08,111,2600000000
BSR130001,2,415,55.61,9.2,4.35,1,G04,2,2600000000
BSR130008,2,532,60.9,10,4.5,1,G04,2,2600000000
BSR130010,2,200,42.82,8.4,3.6,1,G04,2,2600000000
BSR130016,2,83,22.86,9,2.6,1,G08,30,2600000000
BSR130024,2,200,42.82,8.4,3.6,1,G04,2,2600000000
BSR130025,2,122,28.88,7.5,3.52,1,G08,112,2600000000
BSR130034,2,73,26.21,5.6,2.55,1,G04,2,2600000000
BSR130042,2,194,30.61,9.5,4.42,1,G08,112,2600000000
BSR130046,2,220,43.01,7.8,3.4,1,G02,10,2600000000
BSR130047,2,460,56.75,9.2,4.1,1,G04,2,2600000000
BSR130055,2,27,17.77,6,1.85,1,G08,112,2600000000
BSR130060,2,751,72.05,11.5,5.25,1,G04,2,2600000000
BSR130063,2,149,36.01,7.8,3.5,1,G04,2,2600000000
BSR130069,2,51,24.88,5.8,2.7,1,G04,2,2600000000
BSR130073,2,97,30.21,6.5,3.1,1,G04,5,2600000000
BSR130074,2,291,49.95,7.6,3.95,1,G04,2,2600000000
BSR130079,2,424,55.61,9.2,4.35,1,G04,2,2600000000
BSR130088,2,323,49.3,9.15,4.4,1,G04,2,2600000000
BSR130089,2,99,26.76,7.2,3.24,1,G08,112,2600000000
BSR130092,2,386,48.06,8.9,3.75,1,G02,9,2600000000
BSR130093,2,699,70.13,11.2,5.1,1,G04,2,2600000000
BSR130094,2,59,23.57,5.8,2.8,1,G04,5,2600000000
BSR130097,2,30,19.55,4.9,2.15,5,G08,5,2600000000
BSR130098,2,30,19.55,4.9,2.15,5,G08,5,2600000000
BSR132807,2,320,49.01,9.15,4.4,1,G04,2,2600000000
BSR134809,2,699,65.01,11.8,5.3,1,G04,2,2600000000
BSR140010,2,90,29.17,6.6,3,1,G08,2,2600000000
BSR140019,2,51,18.55,6,2.36,1,G08,112,2600000000
BSR140024,2,42,17.07,5.3,2.66,5,G08,37,2600000000
BSR140025,2,432,56.16,9.2,4.35,1,G04,2,2600000000
BSR140030,2,104,27.1,7.1,3.49,1,G08,112,2600000000
BSR140060,2,69,27.98,6,2.45,1,G04,2,2600000000
BSR140061,2,54,19.62,9.18,2.85,4,G01,1,2600000000
BSR140065,2,69,23.95,6.5,2.7,1,G08,112,2600000000
BSR141015,2,1565,78.51,13,6.21,1,G04,11,2600000000
BSR142817,2,379,37.61,9,3.02,1,G01,6,2600000000
BSR142824,2,94,23.97,9,2.98,1,G07,111,2600000000
BSR145802,2,97,29.41,6.5,2.75,1,G04,2,2600000000
BSR146804,2,308,45.58,8,4.5,1,G04,2,2600000000
BSR150005,2,85,29.99,7.1,2.6,1,G04,2,2600000000
BSR150021,2,62,26.98,5.5,2.4,1,G04,2,2600000000
BSR150028,2,214,38.78,8,4.2,1,G04,2,2600000000
BSR150029,2,52,22.78,5.4,2.5,1,G08,2,2600000000
BSR150041,2,241,40.37,9.2,3.3,1,G08,20,2600000000
BSR150047,2,194,33.6,8.8,3.8,1,G08,112,2600000000
BSR150050,2,79,24.41,9.4,2.4,1,G08,35,2600000000
BSR150051,2,62,30.54,5.2,2.55,1,G08,14,2600000000
BSR150052,2,39,22.98,4.8,2.5,1,G04,2,2600000000
BSR150054,2,113,26.1,8.6,3.02,1,G08,112,2600000000
BSR150057,2,36,17.38,5.24,2.41,5,G08,37,2600000000
BSR150058,2,35,16.21,8.45,2.99,5,G08,37,2600000000
BSR150063,2,71,23.85,6.8,3,1,G08,112,2600000000
BSR150068,2,30,20.96,4.9,2.15,5,G08,5,2600000000
BSR150070,2,1636,79,13,7.85,1,G02,105,2600000000
BSR150071,2,349,49.35,8.8,4.1,1,G04,2,2600000000
BSR150082,2,198,44.12,8,3.45,1,G04,2,2600000000
BSR154801,2,54,19.62,9.18,2.85,4,G01,1,2600000000
BSR160009,2,54,19.62,9.18,2.85,4,G01,1,2600000000
BSR160021,2,132,33.1,7.2,3.1,1,G04,2,2600000000
BSR160050,2,194,38.32,8,4.1,1,G04,2,2600000000
BSR160059,2,59,26.52,5.4,2.1,5,G08,20,2600000000
BSR160064,2,2458,84.96,14,7.75,1,G04,2,2600000000
BSR160068,2,1855,80.56,13,8,1,G02,105,2600000000
BSR160070,2,84,23.87,7.8,2.52,1,G08,113,2600000000
BSR160072,2,169,30.72,8,3.63,1,G08,112,2600000000
BSR170002,2,237,46,8,3.5,1,G04,2,2600000000
BSR170004,2,411,26.68,10,7.53,1,G08,111,2600000000
BSR170006,2,51,21.87,5.6,2.62,1,G08,112,2600000000
BSR170008,2,81,27.63,6.6,2.85,1,G04,4,2600000000
BSR170010,2,99,26.25,6.4,2.21,1,G01,6,2600000000
BSR170012,2,62,23.88,6.2,2.65,1,G08,12,2600000000
BSR170014,2,198,43,8,3.45,1,G04,2,2600000000
BSR170020,2,20,17.55,4.18,1.84,5,G08,11,2600000000
BSR170025,2,98,23.82,7.5,3.25,1,G08,112,2600000000
BSR170032,2,41,21.6,5.2,2.2,1,G08,112,2600000000
BSR170034,2,36,22.68,4.9,2.15,5,G08,5,2600000000
BSR170036,2,438,52.32,0,0,1,G04,2,2600000000
BSR170038,2,90,26.13,6.4,2.01,1,G01,6,2600000000
BSR176801,2,759,65.59,11.5,5.35,1,G04,2,2600000000
BSR180002,2,68,26.63,5.6,2.51,5,G08,20,2600000000
BSR180004,2,88,24.93,9.4,2.5,1,G08,6,2600000000
BSR180009,2,105,25.57,7.2,3.3,1,G08,112,2600000000
BSR180011,2,54,22.29,5.8,3.25,1,G08,37,2600000000
BSR180013,2,70,26.36,6,2.7,1,G08,4,2600000000
BSR180017,2,919,72,11.6,5.95,1,G04,2,2600000000
BSR180018,2,289,44.96,8.8,3.6,1,G04,2,2600000000
BSR180023,2,33,15.3,5.85,1.78,5,G08,37,2600000000
BSR180024,2,65,27.42,6.2,2.6,1,G04,2,2600000000
BSR180027,2,155,31.03,11,5.72,1,G08,112,2600000000
BSR180029,2,549,60.9,10.4,4.5,1,G04,2,2600000000
BSR180031,2,199,43,8,3.45,1,G04,2,2600000000
BSR180036,2,68,22.14,7.8,2.3,1,G08,113,2600000000
BSR180039,2,282,25.47,9,7.17,1,G08,111,2600000000
BSR180043,2,3188,90.09,15.6,7.5,1,G02,117,2600000000
BSR190005,2,399,52.2,9.4,4.5,1,G04,2,2600000000
BSR190007,2,2676,92.52,19.8,5.75,1,G02,105,2600000000
BSR190008,2,579,60.09,10.4,4.55,1,G04,2,2600000000
BSR190013,2,2701,92.49,20.78,5.65,1,G02,105,2600000000
BSR190015,2,262,45.14,8.85,4.05,1,G04,2,2600000000
BSR190016,2,94,26.38,7,3.2,1,G08,112,2600000000
BSR190022,2,364,48.1,9,4.1,1,G04,2,2600000000
BSR190024,2,24,19.06,5.3,1.7,1,G08,11,2600000000
BSR190026,2,993,69.72,12,6.38,1,G04,2,2600000000
BSR190027,2,337,49.57,9.2,4.18,1,G04,2,2600000000
BSR196206,2,121,24.09,10.8,3.2,1,G08,112,2600000000
BSR200003,2,32,23.08,4.5,2,5,G08,20,2600000000
BSR200012,2,112,29.38,7.3,3.4,1,G04,2,2600000000
BSR200018,2,996,71.03,12,7.01,1,G04,2,2600000000
BSR200024,2,1668,70.61,13.4,7.98,1,G04,2,2600000000
BSR200033,2,1110,71.55,12.3,7,,G04,2,2600000000
BSR200035,2,497,60.09,10,4.5,1,G04,2,2600000000
BSR200041,2,51,22.9,6,2.34,1,G08,112,2600000000
BSR200042,2,285,46.84,8.8,3.65,1,G04,2,2600000000
BSR505524,2,30.1,19,4,1.7,1,G04,2,2600000000
BSR505662,2,41.36,18.3,3.9,2.2,1,G04,2,2600000000
BSR505708,2,25.08,15.86,4.25,1.7,1,G08,14,2600000000
BSR505761,2,20,19.3,4.3,2.4,1,G04,2,2600000000
BSR505839,2,71.7,20.65,5.06,3.1,1,G04,2,2600000000
BSR505846,2,113,34.87,5.8,3.45,1,G04,2,2600000000
BSR505913,2,82.67,28.7,5.48,2.5,1,G08,112,2600000000
BSR505921,2,75.9,22.59,5.07,2.38,1,G04,2,2600000000
BSR505938,2,77,27,6,3.5,1,G04,2,2600000000
BSR535541,2,50.35,19.15,4.46,2.3,1,G04,5,2600000000
BSR545548,2,88.18,26.8,5,2.65,1,G04,2,2600000000
BSR595629,2,54,28.3,5.3,3.7,1,G04,2,2600000000
BSR605523,2,42,23.78,5.3,2.45,1,G04,2,2600000000
BSR605630,2,29,22.42,4.2,2.3,1,G04,5,2600000000
BSR615612,2,32.18,16.84,3.81,3.11,1,G08,113,2600000000
BSR615669,2,54.43,18.82,4.6,2.62,1,G08,112,2600000000
BSR620017,2,27,21.36,4,1.96,1,G08,112,2600000000
BSR625528,2,37.88,19.32,3.8,2.24,1,G04,5,2600000000
BSR625765,2,23,18.28,4,2.1,1,G08,112,2600000000
BSR625801,2,20,18.05,4,2.08,1,G08,112,2600000000
BSR630014,2,179.82,25.45,7.8,3.6,1,G08,113,2600000000
BSR630121,2,50.31,20.15,4.82,2.2,1,G08,112,2600000000
BSR634026,2,120.19,22.61,7.3,3.2,1,G08,112,2600000000
BSR635709,2,27,19.12,4.52,2.68,1,G04,2,2600000000
BSR635794,2,28.48,17.21,3.98,1.9,1,G08,112,2600000000
BSR638021,2,162.89,26.47,8,3.8,1,G08,112,2600000000
BSR645706,2,23,19.97,3.9,2.1,1,G08,112,2600000000
BSR655591,2,34,22.97,4.45,2.5,1,G04,2,2600000000
BSR655668,2,29.23,16.5,3.5,2,1,G08,112,2600000000
BSR655728,2,22,19.92,4.54,2.06,1,G08,7,2600000000
BSR655742,2,23,18.89,3.89,1.99,1,G08,112,2600000000
BSR655774,2,61,28.85,4.98,2.4,1,G04,2,2600000000
BSR665598,2,20,18.89,3.83,2.03,1,G08,112,2600000000
BSR665626,2,38.66,19.2,4,2.3,1,G04,2,2600000000
BSR665680,2,36,21.01,5.2,2.01,1,G08,112,2600000000
BSR665718,2,22,20.5,3.86,2,1,G08,113,2600000000
BSR665895,2,31.69,18,3.8,2,1,G08,20,2600000000
BSR666163,2,24,20.71,3.8,2,1,G08,112,2600000000
BSR670013,2,135.86,31.21,5.3,2.6,1,G04,2,2600000000
BSR670120,2,46,21.43,5.5,2.5,1,G08,112,2600000000
BSR675563,2,24,20.09,4.05,2.05,1,G08,112,2600000000
BSR675648,2,96.31,26.5,5.9,2.6,1,G08,112,2600000000
BSR675839,2,46,26.87,5.5,2.5,1,G08,113,2600000000
BSR676008,2,21,19.4,3.82,1.9,1,G08,112,2600000000
BSR676468,2,23,20.32,4.05,2.05,1,G08,113,2600000000
BSR676475,2,25,20.88,4.05,2.05,1,G08,112,2600000000
BSR678012,2,61,27.13,5.61,2.75,1,G04,2,2600000000
BSR678051,2,20,17.86,3.6,2.2,1,G04,2,2600000000
BSR680301,2,22,19.25,5,1.9,1,G04,2,2600000000
BSR680400,2,69,27.68,5.4,3.1,1,G04,2,2600000000
BSR685613,2,22,18.35,4,2.05,1,G08,112,2600000000
BSR685677,2,37,23.95,4.2,2.5,1,G04,2,2600000000
BSR685851,2,28.23,16.2,3.95,1.85,1,G04,4,2600000000
BSR690453,2,151.36,27.2,6.8,3.08,1,G08,12,2600000000
BSR692213,2,46,23.76,5.5,2.36,1,G08,112,2600000000
BSR695996,2,23,21.95,3.9,2.28,1,G04,2,2600000000
BSR698116,2,55.94,21.5,4.5,2,1,G04,2,2600000000
BSR698123,2,44,26.26,5.43,2.52,1,G08,112,2600000000
BSR700500,2,25,20.1,4.2,2.1,1,G08,112,2600000000
BSR705554,2,95.47,23.45,6.5,2.9,1,G08,112,2600000000
BSR708028,2,22,19.51,4.15,4.5,1,G08,112,2600000000
BSR709061,2,130.98,25.31,7.5,3.25,1,G08,113,2600000000
BSR710101,2,106.21,23.11,6.5,3,1,G08,112,2600000000
BSR714137,2,93.03,25.15,5.73,2.45,1,G08,112,2600000000
BSR715537,2,24,17.28,5,2,1,G08,30,2600000000
BSR715636,2,48.95,19.7,4.6,2.38,1,G04,2,2600000000
BSR715690,2,27,21.09,4.46,2.4,1,G04,2,2600000000
BSR715841,2,85.78,24.5,5,2.5,1,G04,2,2600000000
BSR716003,2,206,42.81,6.3,3.4,1,G04,2,2600000000
BSR720313,2,47,23.46,5.1,2.1,1,G08,20,2600000000
BSR725619,2,67.34,20.47,3.48,2.75,1,G04,5,2600000000
BSR725725,2,39.21,19.1,4.4,1.94,1,G04,2,2600000000
BSR725771,2,125,34.63,8.2,3.41,1,G08,112,2600000000
BSR728047,2,23.1,16.82,3.32,1.89,1,G04,5,2600000000
BSR728139,2,57,23.22,6.2,2.21,1,G04,4,2600000000
BSR728146,2,141,29.6,8,3.8,1,G08,112,2600000000
BSR730335,2,52,25.1,5.7,2.2,1,G08,112,2600000000
BSR735595,2,110,38.42,6.3,2.9,1,G06,2,2600000000
BSR735662,2,21,19.52,3.98,2.3,1,G04,2,2600000000
BSR735715,2,168,40.19,6.05,4,1,G04,2,2600000000
BSR735730,2,72.58,22.22,5.58,2.7,1,G08,112,2600000000
BSR744436,2,48,23.17,4.55,2.5,1,G04,2,2600000000
BSR745705,2,32.93,18,3.98,2.1,1,G04,2,2600000000
BSR745950,2,29,20.98,4.6,2.75,1,G04,2,2600000000
BSR746020,2,32,22.91,4.47,2.48,1,G04,2,2600000000
BSR748034,2,108.41,28,5.05,2.4,1,G04,2,2600000000
BSR748614,2,823,59.17,10.6,6.68,1,G02,105,2600000000
BSR751418,2,163.74,24.84,8,3.5,1,G08,112,2600000000
BSR755667,2,41,25.64,4.5,2.2,1,G04,2,2600000000
BSR755833,2,24.29,17.7,3.8,1.65,1,G04,2,2600000000
BSR755940,2,124.83,23.85,7,2.53,1,G08,112,2600000000
BSR759042,2,124,32.64,6.65,3.55,1,G04,2,2600000000
BSR760093,2,28.69,17.7,3.94,1.88,1,G08,14,2600000000
BSR760121,2,20,18.31,4,2.05,1,G04,2,2600000000
BSR760161,2,45.46,20.4,4.6,2.1,1,G08,112,2600000000
BSR760245,2,163.74,24.84,8,3.52,1,G08,112,2600000000
BSR761447,2,163.74,24.84,8,3.5,1,G08,112,2600000000
BSR765664,2,29.51,16.7,3.83,2,1,G04,2,2600000000
BSR765848,2,152,31.97,8.1,3.5,1,G08,112,2600000000
BSR769315,2,89,25.28,7.5,3.25,1,G08,112,2600000000
BSR770151,2,45.29,21.4,3.84,2,1,G08,112,2600000000
BSR770175,2,36.13,20.29,4.54,1.92,1,G08,112,2600000000
BSR770190,2,28,20.4,4.6,2.1,1,G08,112,2600000000
BSR770441,2,21,20.09,3.9,1.77,1,G08,112,2600000000
BSR773251,2,27.91,16.35,4,1.95,1,G08,20,2600000000
BSR775548,2,28.17,16.5,4,1.95,1,G08,112,2600000000
BSR775679,2,28.17,16.5,4,1.95,1,G08,113,2600000000
BSR775951,2,28.63,16.77,4,1.98,1,G08,20,2600000000
BSR775969,2,162.96,32.1,6.3,2.6,1,G04,2,2600000000
BSR775991,2,160.05,27.75,6.5,2.7,1,G04,2,2600000000
BSR776796,2,76.25,20.3,6.5,2.2,1,G08,14,2600000000
BSR778043,2,176.41,26.35,8,3.5,1,G08,20,2600000000
BSR778631,2,27,18.3,4.8,2.1,1,G08,112,2600000000
BSR785637,2,37.17,18.3,4.2,2.1,1,G08,112,2600000000
BSR786011,2,29.44,16.5,4,1.95,1,G08,113,2600000000
BSR786075,2,22.05,13.8,3.74,1.88,1,G08,20,2600000000
BSR786090,2,46.02,20.05,4.22,2.3,1,G08,112,2600000000
BSR786150,2,28.95,16.77,3.86,1.95,1,G08,112,2600000000
BSR786167,2,26,19.6,4.02,1.2,1,G08,112,2600000000
BSR786241,2,29,21.35,4.2,2.2,1,G08,112,2600000000
BSR786301,2,30.28,17,4,2,1,G08,112,2600000000
BSR788621,2,40,20.98,5.18,2.3,1,G08,113,2600000000
BSR790116,2,45.17,17.2,6,2,1,G08,14,2600000000
BSR795719,2,23.65,20.6,3.9,1.3,1,G01,8,2600000000
BSR795840,2,31.25,17,4,2.1,1,G08,112,2600000000
BSR795896,2,20,17.25,4,2,1,G08,112,2600000000
BSR795900,2,37.94,18.24,4.2,2.1,1,G08,112,2600000000
BSR795924,2,20,17.52,4,2.05,1,G08,112,2600000000
BSR795971,2,24,18.3,4.2,2.1,1,G08,112,2600000000
BSR796231,2,36,22.44,4.5,2.66,1,G04,2,2600000000
BSR796256,2,22,19.97,4.03,2.66,1,G04,5,2600000000
BSR797069,2,24,18.62,4.2,2.1,1,G08,112,2600000000
BSR805928,2,31.44,17.1,4,2.1,1,G08,112,2600000000
BSR806012,2,42.83,20.5,4.5,2.2,1,G08,112,2600000000
BSR806020,2,42.23,20.78,4.8,2.2,1,G08,112,2600000000
BSR806037,2,42.23,20.78,4.8,2.2,1,G08,112,2600000000
BSR806069,2,124,36.07,6.2,3.1,1,G04,2,2600000000
BSR806203,2,271,41.89,9,3.25,1,G08,29,2600000000
BSR806242,2,423,51.26,10.5,4,1,G02,11,2600000000
BSR806334,2,58.22,22.28,4.8,2.45,1,G08,112,2600000000
BSR806341,2,138,33.96,6,3.9,1,G04,2,2600000000
BSR806381,2,68.46,24.2,5.2,2.4,1,G08,112,2600000000
BSR806419,2,69,23.8,5.2,2.4,1,G08,112,2600000000
BSR810032,2,60.26,20.45,5.18,2.3,1,G08,112,2600000000
BSR810287,2,56.83,21,5.3,2.3,1,G08,112,2600000000
BSR812260,2,32.34,17.8,4,2,1,G04,2,2600000000
BSR818109,2,429,56.98,8.8,4.15,1,G04,2,2600000000
BSR818116,2,20,17.29,3.81,2.09,1,G04,2,2600000000
BSR818131,2,263,43.1,9,4.1,1,G04,2,2600000000
BSR821447,2,218,32.39,9.6,4.23,1,G08,112,2600000000
BSR824448,2,28,19.25,4.5,1.9,1,G04,2,2600000000
BSR825558,2,40,23.91,5.5,2.2,1,G04,2,2600000000
BSR825671,2,88.6,23.87,6,2.5,1,G02,105,2600000000
BSR828626,2,368,53.9,9,3.7,1,G02,105,2600000000
BSR828680,2,139,36.22,7,3.5,1,G04,2,2600000000
BSR831681,2,28,21.74,4.48,2.34,1,G04,2,2600000000
BSR834477,2,23,19.88,4.5,1.9,1,G08,20,2600000000
BSR835523,2,74,23.26,7,3,1,G08,112,2600000000
BSR835548,2,77,24.9,6.8,3.1,1,G08,112,2600000000
BSR835555,2,54,21,5.6,2.8,1,G08,112,2600000000
BSR835778,2,71.27,21.01,4.6,2.6,1,G04,2,2600000000
BSR838655,2,58.42,21.4,4.5,2.2,1,G04,2,2600000000
BSR838687,2,78,24.5,6.5,3.3,1,G08,112,2600000000
BSR840027,2,77,24.56,8.1,2.7,1,G08,112,2600000000
BSR842088,2,34,23.55,4.2,2.1,1,G04,2,2600000000
BSR843166,2,24,19.51,4.4,2.26,1,G04,2,2600000000
BSR845521,2,111,26.4,8,3.8,1,G08,112,2600000000
BSR850123,2,38,22.08,5,2.02,1,G08,113,2600000000
BSR853117,2,20,17.05,4.5,1.88,1,G04,2,2600000000
BSR855528,2,28,21.16,4.3,2.15,1,G08,112,2600000000
BSR855535,2,44,22.76,5.6,2.6,1,G08,112,2600000000
BSR855599,2,29,21.07,4.3,2.1,1,G08,30,2600000000
BSR855610,2,32,23.91,4.4,1.8,1,G01,6,2600000000
BSR865921,2,29,19.05,4.77,2.45,5,G08,41,2600000000
BSR865946,2,89.73,26,5.65,2.66,1,G08,112,2600000000
BSR866016,2,24,20.45,4.35,2.2,1,G08,112,2600000000
BSR866031,2,23,21.66,3.8,1.9,1,G08,112,2600000000
BSR866130,2,20,18.2,3.9,2,1,G08,112,2600000000
BSR870043,2,45,23.98,5.2,2.5,1,G08,112,2600000000
BSR871719,2,60,23.65,6,2.5,1,G04,2,2600000000
BSR872769,2,21,17.86,4.2,1.6,1,G08,11,2600000000
BSR873111,2,34,21.3,4.86,2.55,1,G04,2,2600000000
BSR875713,2,21,19.58,3.94,1.94,1,G08,113,2600000000
BSR875791,2,32,20.45,4.5,2.35,1,G04,2,2600000000
BSR875869,2,21,20.71,3.8,2,1,G08,113,2600000000
BSR876427,2,46.25,22.92,4.3,2.1,1,G08,113,2600000000
BSR876580,2,22,20.66,3.82,1.96,1,G08,112,2600000000
BSR876717,2,60,23.18,5.6,2.9,1,G08,112,2600000000
BSR876788,2,21,17.9,3.75,2,1,G08,112,2600000000
BSR876809,2,68,27.36,6,2.8,1,G08,112,2600000000
BSR876915,2,39.93,19.95,3.9,2,1,G08,112,2600000000
BSR876961,2,20,19.2,3.76,2,1,G08,112,2600000000
BSR876986,2,29.07,17.4,4.06,1.88,1,G08,20,2600000000
BSR877017,2,22,18.16,4.4,1.85,5,G08,11,2600000000
BSR880065,2,70,27.96,6.3,3,1,G08,112,2600000000
BSR880097,2,113,30.89,6.8,3.1,1,G04,2,2600000000
BSR880125,2,145,28.69,8.8,3.6,1,G08,112,2600000000
BSR880422,2,45.36,22,4.2,2,1,G08,112,2600000000
BSR880479,2,24,20.8,3.9,2,1,G08,112,2600000000
BSR880652,2,61.27,21.5,9,3.78,1,G08,112,2600000000
BSR880677,2,33,23,4.4,2.18,1,G08,112,2600000000
BSR880737,2,27,20.98,4.3,2.1,1,G08,112,2600000000
BSR880744,2,37,21.86,5,2.3,1,G08,113,2600000000
BSR880875,2,36,21.72,5,2,1,G08,112,2600000000
BSR880882,2,93.77,26.5,5.9,2.5,1,G08,112,2600000000
BSR880950,2,49,27.53,5.1,2.32,1,G08,112,2600000000
BSR880999,2,90,29.62,6.7,3.2,1,G08,112,2600000000
BSR882147,2,64,27.39,6,2.8,1,G08,112,2600000000
BSR882321,2,49,20.05,5.9,3,1,G08,113,2600000000
BSR885170,2,120,31.1,6.68,3.6,1,G04,2,2600000000
BSR885230,2,29,22.27,4.3,2.3,1,G04,2,2600000000
BSR886011,2,112,26.32,8,3.5,1,G08,112,2600000000
BSR886531,2,39.51,19.3,4.1,2.05,1,G08,112,2600000000
BSR886630,2,35,22.22,4.6,2.47,1,G08,112,2600000000
BSR886654,2,22,20.64,4.15,1.92,1,G08,112,2600000000
BSR886944,2,22,20.93,4.1,1.95,1,G08,112,2600000000
BSR887039,2,29,21.26,4.5,2.2,1,G08,112,2600000000
BSR890214,2,32,21.18,5,2.1,1,G08,112,2600000000
BSR890313,2,70,27.89,6.3,3,1,G08,112,2600000000
BSR890420,2,50,23.22,5.5,2.8,1,G08,112,2600000000
